Date Time,Temp,SpCond,pH,Orp,Turbid+,ODOsat,ODO
M/D/Y HH:MM:SS,C,uS,,mV,NTU,%,mg/L
10/5/14 11:30,13.1,613,7.65,-12.6,13.8,94.5,9.92
10/5/14 11:45,13.17,613,7.45,-8.4,13.4,94.7,9.92
10/5/14 12:00,13.21,612,7.81,-7.9,13.5,94.2,9.86
10/5/14 12:15,13.26,614,7.56,-2.2,13.6,94.8,9.91
10/5/14 12:30,13.31,614,7.53,-7.6,13.4,95.1,9.93
10/5/14 12:45,13.37,614,7.58,-6.6,13.4,95.4,9.95
10/5/14 13:00,13.42,615,8.03,-12.1,13.6,95.4,9.94
10/5/14 13:15,13.47,615,7.81,-9.3,14.2,95.6,9.95
10/5/14 13:30,13.52,614,8.58,-16.5,14.1,95.7,9.95
10/5/14 13:45,13.58,615,8.74,-18.9,13.7,95.9,9.96
10/5/14 14:00,13.63,616,9.22,-19.8,13.5,96.1,9.97
10/5/14 14:15,13.69,616,9.4,-25.9,13.2,96.2,9.96
10/5/14 14:30,13.76,616,9.43,-26.1,13.1,96.3,9.96
10/5/14 14:45,13.82,617,9.52,-23.3,13,96.5,9.96
10/5/14 15:00,13.87,617,9.28,-22.5,13.6,96.3,9.94
10/5/14 15:15,13.91,617,9.4,-19.8,13.6,96.4,9.93
10/5/14 15:30,13.94,617,9.06,-20.3,13.3,96.2,9.91
10/5/14 15:45,13.95,617,8.89,-16.1,13.5,95.8,9.87
10/5/14 16:00,13.97,617,8.96,-18.7,13.5,95.5,9.83
10/5/14 16:15,13.98,617,8.95,-18.1,13.1,94.9,9.77
10/5/14 16:30,14,618,8.99,-19.3,13.6,94.1,9.68
10/5/14 16:45,14.01,618,9.02,-22.7,13.3,94,9.66
10/5/14 17:00,14.03,618,9.4,-21.4,13.3,93.6,9.62
10/5/14 17:15,14.04,619,9.38,-24.3,13.4,93.2,9.58
10/5/14 17:30,14.05,619,9.24,-19.7,13.2,92.7,9.52
10/5/14 17:45,14.06,620,9.5,-26.6,13.4,92.1,9.46
10/5/14 18:00,14.07,620,9.04,-12.5,13.7,91.8,9.43
10/5/14 18:15,14.07,620,9.37,-20.5,13.7,91.4,9.39
10/5/14 18:30,14.06,620,9.13,-11,14.2,90.9,9.34
10/5/14 18:45,14.04,620,9.39,-18.9,14.4,90.6,9.32
10/5/14 19:00,14.02,620,9.08,-12.2,14.5,90.3,9.29
10/5/14 19:15,14.01,621,9.23,-17.8,14.7,90.1,9.26
10/5/14 19:30,13.98,620,9.32,-13.2,14.5,89.8,9.25
10/5/14 19:45,13.96,621,9.23,-17,14.5,89.5,9.22
10/5/14 20:00,13.96,621,9.12,-10.9,14.7,89.4,9.2
10/5/14 20:15,13.95,621,9.24,-16.6,15.5,89.4,9.21
10/5/14 20:30,13.93,621,9.2,-11.8,15.1,89.1,9.18
10/5/14 20:45,13.9,622,8.84,-12.3,15.5,89.1,9.18
10/5/14 21:00,13.87,622,8.76,-8.8,15,88.9,9.17
10/5/14 21:15,13.85,623,8.3,-10.2,15.9,88.8,9.17
10/5/14 21:30,13.82,623,9.38,-15,15.1,88.7,9.16
10/5/14 21:45,13.8,623,8.89,-15.3,14.8,88.9,9.19
10/5/14 22:00,13.77,623,9.2,-12.1,15.3,88.8,9.18
10/5/14 22:15,13.75,624,8.81,-15.6,15.1,88.7,9.17
10/5/14 22:30,13.72,624,8.84,-9.9,14.9,88.5,9.16
